episode_number,date_episode_published,data_set,year_elligible_for_best_of,duration_in_minutes,episode_type,episode_title,guests_and_characters_from_wikipedia_semicolon_delimited,synopsis_and_segments,fandom_wikia_suffix,best_of_rank,weight_flat,weight_inverse,weight_linear,is_on_best_of_boolean
422,2016-05-19,training,2016,71,regular,The WoodyVerse,Chris Gethard;Anthony Atamanuik as Woody Allen;Connor Ratliff as George Lucas;Shannon ONeill as Renalda,,https://comedybangbang.fandom.com/wiki/The_WoodyVerse,,1.0,0.143,0.554,FALSE
423,2016-05-23,training,2016,80,regular,Time Bobby 4,Bobby Moynihan as Fourvel and Fourandahalfvel;Paul F. Tompkins as Lord Andrew Lloyd Webber,,https://comedybangbang.fandom.com/wiki/Time_Bobby_4,10,1.0,0.143,0.554,TRUE
424,2016-05-30,training,2016,88,regular,Almost Parasites,Weird Al Yankovic;Kate Berlant as Greg Kerns;Drew Tarver as Crap Pollo,,https://comedybangbang.fandom.com/wiki/Almost_Parasites,,1.0,0.143,0.554,FALSE
425,2016-06-02,training,2016,76,regular,Sunday Afternoon Taped,"Andy Samberg;Claudia ODoherty;Nick Kroll as R. Schrift, the Mailer Daemon, Fabrice Fabrice, himself, Sylvester Stallone, El Chupacabra, Mrs. Doubtfire, Bill Maher, Creaky Gate, and Gil Faizon",,https://comedybangbang.fandom.com/wiki/Sunday_Afternoon_Taped,8,1.0,0.143,0.554,TRUE
426,2016-06-06,training,2016,75,regular,Schwartz & Schwarts,Ben Schwartz;Horatio Sanz as himself and Barney Schwarts,,https://comedybangbang.fandom.com/wiki/Schwartz_%26_Schwarts,,1.0,0.143,0.554,FALSE
427,2016-06-13,training,2016,72,regular,True Russian Facts,Natasha Leggero;Riki Lindhome;Dan Mangan;Craig Cackowski as Mikhail Titscoffski,Would You Rather,https://comedybangbang.fandom.com/wiki/True_Russian_Facts,,1.0,0.143,0.554,FALSE
428,2016-06-16,training,2016,79,regular,Get Donk’d,Rhys Darby;Mary Holland as Margie Donk;Londale Theus Jr. as Reggie Tote,,https://comedybangbang.fandom.com/wiki/Get_Donk%27d,,1.0,0.143,0.554,FALSE
429,2016-06-20,training,2016,87,regular,Almost Mandatory,Jason Mantzoukas;Thomas Middleditch as himself and Edmond Carlyle,,https://comedybangbang.fandom.com/wiki/Almost_Mandatory,5,1.0,0.143,0.554,TRUE
430,2016-06-27,training,2016,71,regular,Man Veils,Kristian Bruun;Jessica McKenna as Beth;Zeke Nicholson as B.Q.,How Dumb Are You As A Canadian;Would You Rather,https://comedybangbang.fandom.com/wiki/Man_Veils,,1.0,0.143,0.554,FALSE
431,2016-06-30,training,2016,70,regular,Ghost Pets Are Liars,Brett Gelman;Mike OBrien as Chris Dante;Tawny Newsome as Ydeda Elaine Brown,,https://comedybangbang.fandom.com/wiki/Ghost_Pets_Are_Liars,,1.0,0.143,0.554,FALSE
432,2016-07-04,training,2016,91,regular,Dana Carveys Micro-Impressions,Dana Carvey;John Gemberling as HP-DP-69B;Drew Tarver as Little Dammit Man,,https://comedybangbang.fandom.com/wiki/Dana_Carvey%E2%80%99s_Micro-Impressions,,1.0,0.143,0.554,FALSE
433,2016-07-11,training,2016,80,regular,Government Pizza,Aparna Nancherla;Jeremy Rowley as Ming;Ryan Gaul as Doug Gropes,,https://comedybangbang.fandom.com/wiki/Government_Pizza,,1.0,0.143,0.554,FALSE
434,2016-07-14,training,2016,77,regular,Doubt About That,"Brent Weinbach;Brendon Small as Victor Diamond, Tiny, and Willard “Willy” Mapleton;Erin Whitehead as Patty Pecker",,https://comedybangbang.fandom.com/wiki/Doubt_About_That,,1.0,0.143,0.554,FALSE
435,2016-07-18,training,2016,81,regular,Jim Gaffigan Says No,Jim Gaffigan;Eugene Cordero as Tito Ben;Will Hines as Matt Knight,,https://comedybangbang.fandom.com/wiki/Jim_Gaffigan_Says_No,,1.0,0.143,0.554,FALSE
436,2016-07-25,training,2016,78,regular,Rich Mind Vain,Sean Clements as himself and Rich Mind Vain;Chris Tallman as Nick Nolte;Eliza Skinner as Angelica Trashmouth,,https://comedybangbang.fandom.com/wiki/Rich_Mind_Vain,,1.0,0.143,0.554,FALSE
437,2016-08-01,training,2016,82,regular,Fart Face Fuckers 2,Mike Birbiglia;Horatio Sanz as himself and Dr. Bill Phil;Mary Holland as herself and Lisa Taco,,https://comedybangbang.fandom.com/wiki/Fart_Face_Fuckers_2,,1.0,0.143,0.554,FALSE
438,2016-08-08,training,2016,67,regular,Hair Take It,Cameron Esposito;River Butcher;Paul F. Tompkins as Al A. Peterson,,https://comedybangbang.fandom.com/wiki/Hair_Take_It,,1.0,0.143,0.554,FALSE
439,2016-08-11,training,2016,77,regular,Its Great,Adam Pally as himself and Bro;Nick Kroll as himself and R. Schrift,,https://comedybangbang.fandom.com/wiki/It%27s_Great_(An_Improv_Team),,1.0,0.143,0.554,FALSE
440,2016-08-15,training,2016,85,regular,Pop-TarTender,Todd Glass;Jon Gabrus as Gino Lombardo;Matt Besser as LaMary,,https://comedybangbang.fandom.com/wiki/Pop-TarTender,,1.0,0.143,0.554,FALSE
441,2016-08-22,training,2016,76,regular,Your Cousin Marvin,Jason Mantzoukas;Carl Tart as Marvin Phelps;Neil Campbell as Larry the Loner,,https://comedybangbang.fandom.com/wiki/Your_Cousin_Marvin,,1.0,0.143,0.554,FALSE
442,2016-08-29,training,2016,90,regular,Atlantis Dire Warning,Andy Daly as Neptuna and Dalton Wilcox;Jeremy Rowley as Ming,,https://comedybangbang.fandom.com/wiki/Atlantis_Dire_Warning,,1.0,0.143,0.554,FALSE
443,2016-09-05,training,2016,77,regular,This Is Your Boy Troy,Adam Scott;Will Hines as Jack Sparks;Jessica McKenna as This Is Your Boy Troy,,https://comedybangbang.fandom.com/wiki/This_Is_Your_Boy_Troy,,1.0,0.143,0.554,FALSE
444,2016-09-12,training,2016,79,regular,Mind Your Please and Questions,Tig Notaro;Mike Hanford as John Lennon;Drew Tarver as Mr. Manners,,https://comedybangbang.fandom.com/wiki/Mind_Your_Please_and_Questions,,1.0,0.143,0.554,FALSE
445,2016-09-15,training,2016,85,regular,Sully Goose,Michelle Biloon;Paul F. Tompkins as Captain Chesley Sully Sullenberger,,https://comedybangbang.fandom.com/wiki/Sully_Goose,,1.0,0.143,0.554,FALSE
446,2016-09-19,training,2016,85,regular,Scrounging and Lounging,Tatiana Maslany;Kristian Bruun;Mary Holland as Janice Cramps;Paul F. Tompkins as Big Chunky Bubbles,,https://comedybangbang.fandom.com/wiki/Scrounging_and_Lounging,6,1.0,0.143,0.554,TRUE
447,2016-09-26,training,2016,84,regular,These Are the Worst,Aya Cash;Kether Donohue;Zeke Nicholson as Bone Queef;Kate Berlant as Daniel,,https://comedybangbang.fandom.com/wiki/These_Are_the_Worst,,1.0,0.143,0.554,FALSE
448,2016-10-03,training,2016,77,regular,Master of Horror,Robert Kirkman;Ryan Gaul as Doug Gropes;John Gemberling as Mart,,https://comedybangbang.fandom.com/wiki/Master_of_Horror,,1.0,0.143,0.554,FALSE
449,2016-10-10,training,2016,76,regular,Nasty Lyrics,Paul F. Tompkins;Drew Tarver as Trish Trasch;Ryan Gaul as Beverly Gunt;Mandell Maughan as Janice Bullhorn;Dan Ahdoot as Juan,,https://comedybangbang.fandom.com/wiki/Nasty_Lyrics,,1.0,0.143,0.554,FALSE
450,2016-10-13,training,2016,76,regular,Throw It On the Floor,Kyle Kinane;Horatio Sanz as Dr. Julius Jackson,,https://comedybangbang.fandom.com/wiki/Throw_It_On_the_Floor,,1.0,0.143,0.554,FALSE
451,2016-10-17,training,2016,74,regular,Wishing with The Grawlix,"Ben Roy;Andrew Orvedahl;Lauren Lapkus as Frank Dorito;Brendon Small as Victor Diamond, Tiny, and Willard Willy Mapleton;Paul F. Tompkins as Jarles",,https://comedybangbang.fandom.com/wiki/Wishing_with_The_Grawlix,,1.0,0.143,0.554,FALSE
452,2016-10-24,training,2016,71,regular,Pow! Pow! Power Wheels!,Weird Al Yankovic;Claudia ODoherty;Jessica McKenna as Beth,,https://comedybangbang.fandom.com/wiki/Pow!_Pow!_Power_Wheels!,13,1.0,0.143,0.554,TRUE
453,2016-10-27,training,2016,83,regular,Unblocked and Unlocked,Johnny Pemberton as himself and Dicker Troy;Eden Sher;Londale Theus Jr. as Reverend T.P. Stain,Would You Rather,https://comedybangbang.fandom.com/wiki/Unblocked_and_Unlocked,,1.0,0.143,0.554,FALSE
454,2016-10-31,training,2016,61,holiday,Return to Suicide House Part Tricks-or-Treats,Jon Daly as Beuford le Barron;Allan McLeod as Ghost Boy;Paul Rust as Dr. Traygo;Nick Wiger as Leo Carpazzi;Caroline Anderson as Scaroline,Freestyle Rap Battle,https://comedybangbang.fandom.com/wiki/Return_to_Suicide_House_Part_Tricks-or-Treats,,1.0,0.143,0.554,FALSE
455,2016-11-03,training,2016,79,regular,The Washington Monugents Reunite,Bob Odenkirk;River Butcher;Tim Kalpakis;Dave Ferguson;Mike Hanford;Eban Schletter,,https://comedybangbang.fandom.com/wiki/The_Washington_Monugents_Reunite,,1.0,0.143,0.554,FALSE
456,2016-11-07,training,2016,67,regular,The Historic Rap,Jason Mantzoukas;Paul F. Tompkins as Cal Solomon,,https://comedybangbang.fandom.com/wiki/The_Historic_Rap,14,1.0,0.143,0.554,TRUE
457,2016-11-14,training,2016,90,regular,Prepare for the Quake,Michael Showalter;Paul Brittain as Dr. Brian Blouse;Jeremy Rowley as Mark,,https://comedybangbang.fandom.com/wiki/Prepare_for_the_Quake,,1.0,0.143,0.554,FALSE
458,2016-11-17,training,2016,58,regular,Solo Bolo Cuatrolo,Ben Schwartz;Lin-Manuel Miranda,Solo Bolo Olympic Song Challenge,https://comedybangbang.fandom.com/wiki/Solo_Bolo_Cuatrolo,,1.0,0.143,0.554,FALSE
459,2016-11-21,training,2016,99,regular,Giamatti Gives Thanks,Maria Thayer;James Adomian as Paul Giamatti;Tawny Newsome as Gary Urbansky,,https://comedybangbang.fandom.com/wiki/Giamatti_Gives_Thanks,,1.0,0.143,0.554,FALSE
460,2016-11-28,training,2017,91,regular,Persons of Interest,Weird Al Yankovic;Ryan Gaul as Detective James P. Garetty;Jeremy Rowley as Kole Kringle;Drew Tarver as David,,https://comedybangbang.fandom.com/wiki/Persons_of_Interest,,1.0,0.167,0.623,FALSE
461,2016-12-01,training,2017,67,regular,Tragedy Boom! Boom! with The Magic Tavern,"Adal Rifai as Chunt, King of the Badgers;Arnie Niekamp;Matt Young as Usidore the Blue",Honesty or Challenge,https://comedybangbang.fandom.com/wiki/Tragedy_Boom!_Boom!_with_The_Magic_Tavern,,1.0,0.167,0.623,FALSE
462,2016-12-05,training,2017,67,regular,Breakin Since the 30s,Nick Thune;Moshe Kasher;Lauren Lapkus as Wendy Quote The Worm Unquote Widelman and The Dell Guy,,https://comedybangbang.fandom.com/wiki/Breakin%E2%80%99_Since_the_30s,,1.0,0.167,0.623,FALSE
463,2016-12-12,training,2017,150,holiday,2016 Holiday Spectacular,"Jason Mantzoukas;Jon Gabrus as Gino Lombardo;Mike Hanford as John Lennon;Paul F. Tompkins as Al A. Peterson;Tawny Newsome as Gary Urbansky;Tim Baltz as Ron Urbansky;Neil Campbell as The Time Keeper;River Butcher;Will Hines as Frosty the Snowman;Ryan Gaul as Norm Hamer;Jeremy Rowley as Ming;Drew Tarver as Keith Jones;James Adomian as Jesse Ventura;Zeke Nicholson as Dr. Green;Brendon Small as Victor Diamond, Tiny, and Willy Mapleton",,https://comedybangbang.fandom.com/wiki/2016_Holiday_Spectacular,3,1.0,0.167,0.623,TRUE
464,2017-01-04,training,2017,75,regular,A Ton More Sexy,Ben Schwartz;Horatio Sanz as Shelly Driftwood and Gringo Starr,,https://comedybangbang.fandom.com/wiki/A_Ton_More_Sexy,,1.0,0.167,0.623,FALSE
465,2017-01-09,training,2017,80,regular,Harsh Joe Pinions,Matt Besser;Jessica McKenna as Margery Kershaw;Gil Ozeri as Joe Pinions Rudolph,,https://comedybangbang.fandom.com/wiki/Harsh_Joe_Pinions,,1.0,0.167,0.623,FALSE
466,2017-01-16,training,2017,73,regular,Gossip Guy,Brendon Walsh as himself and Rene Faberge;Randy Liedtke;Lauren Lapkus as Traci Reardon and Ross Geller,,https://comedybangbang.fandom.com/wiki/Gossip_Guy,,1.0,0.167,0.623,FALSE
467,2017-01-23,training,2017,77,regular,TruLife TV,Paul Scheer as himself and Tyren Bigsby;Michelle Biloon;Mike OBrien as Kelly Burton,,https://comedybangbang.fandom.com/wiki/TruLife_TV,,1.0,0.167,0.623,FALSE
468,2017-01-30,training,2017,88,regular,The Dream Method,Rachel Bloom;Jeremy Rowley as Ming;Anthony Atamanuik as Chief Inspector Yoplait and Ringo Starr;Mike Hanford as Peter Finn,,https://comedybangbang.fandom.com/wiki/The_Dream_Method,,1.0,0.167,0.623,FALSE
469,2017-02-06,training,2017,69,regular,Quiznos What QuizDid,John Hodgman;Zeke Nicholson as Dr. Green;Carl Tart as The Chief,,https://comedybangbang.fandom.com/wiki/Quiznos_What_QuizDid,15,1.0,0.167,0.623,TRUE
470,2017-02-13,training,2017,66,regular,Electric Guest Are Masculine,Electric Guest;Mary Holland as Brandon Potter;Erin Whitehead as Janelle Jinx,,https://comedybangbang.fandom.com/wiki/Electric_Guest_Are_Masculine,,1.0,0.167,0.623,FALSE
471,2017-02-20,training,2017,78,regular,"Shy By Nature, Outgoing By Nurture",Jason Mantzoukas;John Early as Tricia R.;Kate Berlant as Tricia L.,,"https://comedybangbang.fandom.com/wiki/Shy_By_Nature,_Outgoing_By_Nurture",,1.0,0.167,0.623,FALSE
472,2017-02-23,training,2017,88,regular,"Pleats, Please!",Kurt Braunohler;Will Hines as Johnny Bikes;Holly Prazoff as Susan Greenberg,,"https://comedybangbang.fandom.com/wiki/Pleats,_Please!",,1.0,0.167,0.623,FALSE
473,2017-02-27,training,2017,83,regular,Tight Tort,Ben Schwartz as himself and Markis Quiddlebit;Thomas Middleditch as himself and Alan Buchanan,,https://comedybangbang.fandom.com/wiki/Tight_Tort,13,1.0,0.167,0.623,TRUE
474,2017-03-06,training,2017,75,regular,Liquid Meal Spheres,Gillian Jacobs;Paul Rust;Paul F. Tompkins as Big Chunky Bubbles,New No-Nos; Comedy Bang Bang Dating Game,https://comedybangbang.fandom.com/wiki/Liquid_Meal_Spheres,16,1.0,0.167,0.623,TRUE
475,2017-03-13,training,2017,81,regular,Prince and John Popper,Andy Daly as August Lindt;Jon Gabrus as Gino Lombardo,,https://comedybangbang.fandom.com/wiki/Prince_and_John_Popper,,1.0,0.167,0.623,FALSE
476,2017-03-20,training,2017,84,regular,The Evigan Way,Ryan Gaul as Dr. Martinia Johansson;Heidi Gardner as Tracy Evigan;Jordan Black as Toluca Graves,,https://comedybangbang.fandom.com/wiki/The_Evigan_Way,,1.0,0.167,0.623,FALSE
477,2017-03-23,training,2017,92,regular,Two Fingers Wide,American Football;Mike Hanford as John Lennon;Mary Holland as Gwendolyn Speck;Tim Baltz as Jonathan Woodley,,https://comedybangbang.fandom.com/wiki/Two_Fingers_Wide,,1.0,0.167,0.623,FALSE
478,2017-03-27,training,2017,95,regular,Spank Me With A Feather!,Kristian Bruun;Tatiana Maslany;Paul F. Tompkins as Chazmin;Lauren Lapkus as Sunny;Mary Holland as Janice Cramps,,https://comedybangbang.fandom.com/wiki/Spank_Me_With_A_Feather!,8,1.0,0.167,0.623,TRUE
479,2017-04-03,training,2017,79,regular,The Bunn Process,Gerry Duggan;Paul Brittain as Richard Bunn;Kirby Howell-Baptiste as Angeylinaaa,,https://comedybangbang.fandom.com/wiki/The_Bunn_Process,,1.0,0.167,0.623,FALSE
480,2017-04-06,training,2017,80,regular,Tooth of the Sea,Jane Lynch;Kate Mines;Paul Witten;Drew Tarver as Curtis Korn;Madeline Walter as Wanda Dumps,,https://comedybangbang.fandom.com/wiki/Tooth_of_the_Sea,,1.0,0.167,0.623,FALSE
481,2017-04-10,training,2017,62,regular,Silly Con Valley Poo Crew 3,Thomas Middleditch as himself and Don Donaldson;Kumail Nanjiani;Martin Starr,,https://comedybangbang.fandom.com/wiki/Silly_Con_Valley_Poo_Crew_3,7,1.0,0.167,0.623,TRUE
482,2017-04-17,training,2017,75,regular,Streahemoth,Joel Hodgson;Baron Vaughn;Jonah Ray;Horatio Sanz as Johnny Delta Johnson;Alison Rich as Inés Blarfi,,https://comedybangbang.fandom.com/wiki/Streahemoth,,1.0,0.167,0.623,FALSE
483,2017-04-20,training,2017,76,special,The 420 Show,Neil Campbell as The Time Keeper;Zeke Nicholson as Dr. Green;Matt Besser as Colin Ramsey,Would You Rather,https://comedybangbang.fandom.com/wiki/The_420_Show,,1.0,0.167,0.623,FALSE
484,2017-04-24,training,2017,83,regular,Pre Chowder,Jason Mantzoukas;Jon Gabrus as Gino Lombardo;Paul F. Tompkins as Lord Andrew Lloyd Webber,Would You Rather,https://comedybangbang.fandom.com/wiki/Pre_Chowder,5,1.0,0.167,0.623,TRUE
485,2017-05-01,training,2017,179,anniversary,The 8th Anniversary Show!,"Jon Gabrus as Gino Lombardo;Paul F. Tompkins as Cake Boss, Garry Marshall and Alan Thicke;Lauren Lapkus as Regina Crimp and PNut;Zeke Nicholson as Bone Queef;Carl Tart as The Chief;Mary Holland as Chucky Spliff;Mike Hanford as John Lennon;Jessica McKenna as Dagmar the Small;Tawny Newsome as Rauro Riley;Tim Baltz as Burt Riley;Ryan Gaul as Norm Hamer;Drew Tarver as Keith Jones;Jeremy Rowley as Ming;Nick Kroll as R. Schrift",,https://comedybangbang.fandom.com/wiki/The_8th_Anniversary_Show!,2,1.0,0.167,0.623,TRUE
486,2017-05-08,training,2017,91,regular,Schwimm On In,Ron Funches;Nick Thune;Jon Daly as Papa Johns Misty;Jordan Black as Vernita Wyatt,Would You Rather,https://comedybangbang.fandom.com/wiki/Schwimm_On_In,,1.0,0.167,0.623,FALSE
487,2017-05-15,training,2017,89,regular,Genie Awareness,Haley Joel Osment;Ryan Gaul as Doug Gropes;Lauren Lapkus as Bunty Pickles;Shaun Diston as Carl Smart,,https://comedybangbang.fandom.com/wiki/Genie_Awareness,,1.0,0.167,0.623,FALSE
488,2017-05-22,training,2017,70,regular,3 Kidnapped Boys,Al Madrigal;Alana Johnston as Cam Paxton;Alison Rich as Brian Credit;Natalie Palamides as Billy Neville,Would You Rather,https://comedybangbang.fandom.com/wiki/3_Kidnapped_Boys,,1.0,0.167,0.623,FALSE
489,2017-05-29,training,2017,100,regular,The Bajillion Dollar Propertie$ Elevator Pitch,Kulap Vilaysack as herself and Gishel Bergentrack;Paul F. Tompkins as himself and Orph Bergentrack;Tim Baltz as himself and Jackenzie Bergentrack;Dan Ahdoot as himself and Gobo Bergentrack;Drew Tarver as himself and Trey Bergentrack;Eugene Cordero as himself and Dartagnan Bergentrack;Mandell Maughan as herself and Mackenzie Bergentrack;Tawny Newsome as herself and Kim Bega,,https://comedybangbang.fandom.com/wiki/The_Bajillion_Dollar_Propertie%24_Elevator_Pitch,14,1.0,0.167,0.623,TRUE
490,2017-06-05,training,2017,74,regular,Coma Pants,Lucia Aniello;Paul W. Downs;Zeke Nicholson as Pants the Rapper;Carl Tart as MC Sugar Butt;Lamar Woods as Carl Coaster,,https://comedybangbang.fandom.com/wiki/Coma_Pants,,1.0,0.167,0.623,FALSE
491,2017-06-12,training,2017,76,regular,Goo It,Rory Scovel;Mike Hanford as Justin Hoffman;DArcy Carden as Caroline BelindaCarlisle,,https://comedybangbang.fandom.com/wiki/Goo_It,,1.0,0.167,0.623,FALSE
492,2017-06-19,training,2017,69,regular,Dashiki Fever,Jessica St. Clair as Marissa Wompler;Lennon Parham as Miss Listler,,https://comedybangbang.fandom.com/wiki/Dashiki_Fever,,1.0,0.167,0.623,FALSE
493,2017-06-22,training,2017,65,regular,King Garbage Dick,Nick Kroll;Anthony King as Liberty DeVito;Seth Morris as Josh Yadegar,,https://comedybangbang.fandom.com/wiki/King_Garbage_Dick,,1.0,0.167,0.623,FALSE
494,2017-06-26,training,2017,97,regular,Face Fox,Jon Hamm;Edgar Wright;Paul F. Tompkins as J.W. Stillwater;Jessica McKenna as Beth,,https://comedybangbang.fandom.com/wiki/Face_Fox,,1.0,0.167,0.623,FALSE
495,2017-06-29,training,2017,86,regular,Who CBBeefed?,Jason Mantzoukas;Mary Holland as Jennifer Spot;Tim Baltz as Jason Turley,,https://comedybangbang.fandom.com/wiki/Who_CBBeefed%3F,,1.0,0.167,0.623,FALSE
496,2017-07-03,training,2017,87,regular,The Dream Lords,"Andrea Savage;Jon Gabrus as Gino Lombardo;Will Hines as Morpheus, The Dream Lord;Holly Prazoff as Mary Lisa",,https://comedybangbang.fandom.com/wiki/The_Dream_Lords,,1.0,0.167,0.623,FALSE
497,2017-07-10,training,2017,70,regular,Wait Awhile,Kumail Nanjiani;Emily V. Gordon;Horatio Sanz as Cooper F. Worthington-Tompkins;Eliza Skinner as Lindsey Cumdrop,,https://comedybangbang.fandom.com/wiki/Wait_Awhile,,1.0,0.167,0.623,FALSE
498,2017-07-13,training,2017,87,regular,What That DOS,Flula Borg;Jeremy Rowley as Ming;Brendon Small as Willard Willy Mapleton and Captain Mustache;Paul F. Tompkins as Jarles,,https://comedybangbang.fandom.com/wiki/What_That_DOS,,1.0,0.167,0.623,FALSE
499,2017-07-17,training,2017,71,regular,The Freak,Kyle Mooney as himself and Chris Fitzpatrick;Paul Rust as Benny Bachelor;Neil Campbell as Barrett Bachelor;Fran Gillespie as Rosie Jipps,,https://comedybangbang.fandom.com/wiki/The_Freak,,1.0,0.167,0.623,FALSE
500,2017-07-24,training,2017,93,regular,The 500th Episode,Nick Kroll as El Chupacabra;Jason Mantzoukas;Lauren Lapkus as Todd;Jon Gabrus as Gino Lombardo;Paul F. Tompkins as Cal Solomon;Mary Holland as Tommy Scuzz,,https://comedybangbang.fandom.com/wiki/The_500th_Episode,1,1.0,0.167,0.623,TRUE
501,2017-07-31,training,2017,90,regular,Manchester Orchestras Kith and Kin,Manchester Orchestra;Jessica McKenna as Sissy Montgomery;Zach Reino as Lord Dingle,,https://comedybangbang.fandom.com/wiki/Manchester_Orchestra%E2%80%99s_Kith_and_Kin,,1.0,0.167,0.623,FALSE
502,2017-08-07,training,2017,70,regular,Error 502,Joe Mande;James Adomian as Jesse Ventura and Falkor;Will Hines as Morpheus,,https://comedybangbang.fandom.com/wiki/Error_502,,1.0,0.167,0.623,FALSE
503,2017-08-14,training,2017,82,regular,Reeses Feces,Andy Richter;Alison Rich as Tina Danish;John Gemberling as Patricia Primm,,https://comedybangbang.fandom.com/wiki/Reese%E2%80%99s_Feces,,1.0,0.167,0.623,FALSE
504,2017-08-17,training,2017,77,regular,The Bigger the Percent the Better,Brett Gelman,,https://comedybangbang.fandom.com/wiki/The_Bigger_the_Percent_the_Better,,1.0,0.167,0.623,FALSE
505,2017-08-21,training,2017,78,regular,Grass-Fed Bits,David Wain;Dan Wilson;Jordan Black as Testarossa Manigault;Tim Baltz as Randy Snutz,,https://comedybangbang.fandom.com/wiki/Grass-Fed_Bits,,1.0,0.167,0.623,FALSE
506,2017-08-28,training,2017,79,regular,Hot Tub Diarrhea,Chris Gethard;Mike Hanford as John Lennon;Madeline Walter as Pam Carton,,https://comedybangbang.fandom.com/wiki/Hot_Tub_Diarrhea,,1.0,0.167,0.623,FALSE
507,2017-09-04,training,2017,90,regular,Popcorn Costume,Cameron Esposito;River Butcher;Paul F. Tompkins as Mike the Janitor;Tawny Newsome as Gary Urbansky,,https://comedybangbang.fandom.com/wiki/Popcorn_Costume,,1.0,0.167,0.623,FALSE
508,2017-09-11,training,2017,92,regular,Beach Cheese,Nathan Fielder;Betsy Sodaro as Cherry the C.H.U.D.;Will Hines as Bones McGrill,,https://comedybangbang.fandom.com/wiki/Beach_Cheese,,1.0,0.167,0.623,FALSE
509,2017-09-18,training,2017,74,regular,3 Witches and a Baby,Tig Notaro;Lauren Lapkus as Dump Dump;Mary Holland as Frida Corpse;Erin Whitehead as Girdle,,https://comedybangbang.fandom.com/wiki/3_Witches_and_a_Baby,,1.0,0.167,0.623,FALSE
510,2017-09-25,training,2017,92,regular,Pound Foolish,Andy Samberg;Paul F. Tompkins as Mayor Junius Bobbledoonary;Drew Tarver as Derek Contrera,,https://comedybangbang.fandom.com/wiki/Pound_Foolish,9,1.0,0.167,0.623,TRUE
511,2017-10-02,training,2017,90,regular,Morzouksnick Interruption,Nick Kroll;Jason Mantzoukas;Seth Morris as Bob Ducca,,https://comedybangbang.fandom.com/wiki/Morzouksnick_Interruption,4,1.0,0.167,0.623,TRUE
512,2017-10-09,training,2017,94,regular,Whats Your AIM?,Bobby Moynihan as Slow Pesci and Fourvel;Paul F. Tompkins as Werner Herzog,,https://comedybangbang.fandom.com/wiki/What%E2%80%99s_Your_AIM%3F,6,1.0,0.167,0.623,TRUE
513,2017-10-12,training,2017,75,regular,Hobo Code,Patton Oswalt;Drew Tarver as Randy Travels;Betsy Sodaro as Charlotte,,https://comedybangbang.fandom.com/wiki/Hobo_Code,,1.0,0.167,0.623,FALSE
514,2017-10-16,training,2017,91,regular,The Calvins Twins Return,Taran Killam as Bever Hopox;Paul Brittain as Chico Hands;Ryan Gaul as Bisby St. Hancock,,https://comedybangbang.fandom.com/wiki/The_Calvins_Twins_Return,11,1.0,0.167,0.623,TRUE
515,2017-10-23,training,2017,74,holiday,Return to Suicide House Part 666,Brett Gelman as Messmore LeBaron;Jon Daly as Bueford LeBaron;Allan McLeod as Ghost Boy;Natalie Palamides as Ghost Mother;Nick Wiger as Leo Carpazzi;Caroline Anderson as Scaroline,Freestyle Rap Battle,https://comedybangbang.fandom.com/wiki/Return_to_Suicide_House_Part_666,,1.0,0.167,0.623,FALSE
516,2017-10-26,training,2017,78,regular,Solo Bolo Cincolo,Ben Schwartz,Solo Bolo Olympic Song Challenge,https://comedybangbang.fandom.com/wiki/Solo_Bolo_Cincolo,,1.0,0.167,0.623,FALSE
517,2017-10-30,training,2017,85,regular,Aha Moments with The National,The National;Brendon Small as Victor Diamond and Tiny;Jessica McKenna as Dagmar the Small,,https://comedybangbang.fandom.com/wiki/Aha_Moments_with_The_National,,1.0,0.167,0.623,FALSE
518,2017-11-06,training,2017,102,regular,Corn Dog Horndog,Jason Mantzoukas;Andy Daly as Cameron McGonigle,,https://comedybangbang.fandom.com/wiki/Corn_Dog_Horndog,10,1.0,0.167,0.623,TRUE
519,2017-11-13,training,2017,82,regular,Law O Ver Everything,John Early;Carl Tart as The Chief;Zeke Nicholson as Bone Queef,,https://comedybangbang.fandom.com/wiki/Law_O_Ver_Everything,,1.0,0.167,0.623,FALSE
520,2017-11-16,training,2017,70,regular,Dead Body Rap,Rob Huebel;Will Hines as Joe Squib;Alana Johnston as Chandeline Jean,,https://comedybangbang.fandom.com/wiki/Dead_Body_Rap,,1.0,0.167,0.623,FALSE
521,2017-11-20,training,2017,92,regular,Bing Bong Goodbye,John Hodgman;Jon Gabrus as Gino Lombardo;Lauren Lapkus as Todd;DArcy Carden as Caroline BelindaCarlisle,,https://comedybangbang.fandom.com/wiki/Bing_Bong_Goodbye,12,1.0,0.167,0.623,TRUE
522,2017-11-27,training,2018,88,regular,Charlies Bucket List,Sarah Silverman;Madeline Walter as Charles Manson;Ego Nwodim as Prince Chinedu;Paul F. Tompkins as Jarles,,https://comedybangbang.fandom.com/wiki/Charlie%E2%80%99s_Bucket_List,,1.0,0.200,0.692,FALSE
523,2017-12-04,training,2018,79,regular,Chekhovs Phone,Jimmy Pardo;Drew Tarver as Jake;Ryan Rosenberg as David;Jon Mackey as Lou;Dan Lippert as Carl,Charades By Proxy,https://comedybangbang.fandom.com/wiki/Chekhov%E2%80%99s_Phone,,1.0,0.200,0.692,FALSE
